Ano;Vinhos;Total;Tipo
2020;Schonburger;14499;Brancas/Rosadas
2021;Schonburger;5500;Brancas/Rosadas
2006;Sylvaner;4530;Brancas/Rosadas
2007;Sylvaner;4693;Brancas/Rosadas
2008;Sylvaner;6587;Brancas/Rosadas
2009;Sylvaner;492;Brancas/Rosadas
2011;Sylvaner;1435;Brancas/Rosadas
2012;Sylvaner;144;Brancas/Rosadas
2013;Sylvaner;155;Brancas/Rosadas
2006;Trebbiano;1376390;Brancas/Rosadas
2007;Trebbiano;1711643;Brancas/Rosadas
2008;Trebbiano;1846212;Brancas/Rosadas
2009;Trebbiano;1578176;Brancas/Rosadas
2010;Trebbiano;1338957;Brancas/Rosadas
2011;Trebbiano;2439317;Brancas/Rosadas
2012;Trebbiano;2576020;Brancas/Rosadas
2013;Trebbiano;2876041;Brancas/Rosadas
2014;Trebbiano;3342859;Brancas/Rosadas
2015;Trebbiano;3830336;Brancas/Rosadas
2016;Trebbiano;2083491;Brancas/Rosadas
2017;Trebbiano;3892478;Brancas/Rosadas
2018;Trebbiano;4504485;Brancas/Rosadas
2020;Trebbiano;4682326;Brancas/Rosadas
2021;Trebbiano;67720;Brancas/Rosadas
2016;Trebbiano Toscano;2694;Brancas/Rosadas
2017;Trebbiano Toscano;100047;Brancas/Rosadas
2018;Trebbiano Toscano;18110;Brancas/Rosadas
2020;Trebbiano Toscano;122512;Brancas/Rosadas
2021;Trebbiano Toscano;184310;Brancas/Rosadas
2011;Verdelho;12420;Brancas/Rosadas
2012;Verdelho;14339;Brancas/Rosadas
2018;Verdelho;1800;Brancas/Rosadas
2020;Verdelho;1540;Brancas/Rosadas
2021;Verdelho;15503;Brancas/Rosadas
2006;Vermentino;1040;Brancas/Rosadas
2007;Vermentino;660;Brancas/Rosadas
2008;Vermentino;3090;Brancas/Rosadas
2009;Vermentino;1940;Brancas/Rosadas
2010;Vermentino;560;Brancas/Rosadas
2011;Vermentino;5480;Brancas/Rosadas
2012;Vermentino;4844;Brancas/Rosadas
2013;Vermentino;3220;Brancas/Rosadas
2014;Vermentino;1890;Brancas/Rosadas
2015;Vermentino;790;Brancas/Rosadas
2006;Vernaccia;34760;Brancas/Rosadas
2007;Vernaccia;32672;Brancas/Rosadas
2008;Vernaccia;21146;Brancas/Rosadas
2009;Vernaccia;14498;Brancas/Rosadas
2010;Vernaccia;6520;Brancas/Rosadas
2011;Vernaccia;4930;Brancas/Rosadas
2012;Vernaccia;3780;Brancas/Rosadas
2013;Vernaccia;7970;Brancas/Rosadas
2014;Vernaccia;4150;Brancas/Rosadas
2015;Vernaccia;4760;Brancas/Rosadas
2017;Vernaccia;5100;Brancas/Rosadas
2018;Vernaccia;4020;Brancas/Rosadas
2020;Vernaccia;95680;Brancas/Rosadas
2006;Viognier;16581;Brancas/Rosadas
2007;Viognier;37628;Brancas/Rosadas
2008;Viognier;41338;Brancas/Rosadas
2009;Viognier;49935;Brancas/Rosadas
2010;Viognier;76145;Brancas/Rosadas
2011;Viognier;144979;Brancas/Rosadas
2012;Viognier;200288;Brancas/Rosadas
2013;Viognier;247081;Brancas/Rosadas
2014;Viognier;149333;Brancas/Rosadas
2015;Viognier;285217;Brancas/Rosadas
2016;Viognier;95231;Brancas/Rosadas
2017;Viognier;365103;Brancas/Rosadas
2018;Viognier;470555;Brancas/Rosadas
2020;Viognier;531026;Brancas/Rosadas
2021;Viognier;78305;Brancas/Rosadas
2006;Total;34162995;Tinto
2007;Total;43653087;Tinto
2008;Total;48852574;Tinto
2009;Total;39148123;Tinto
2010;Total;23633831;Tinto
2011;Total;44473588;Tinto
2012;Total;39303313;Tinto
2013;Total;36855419;Tinto
2014;Total;29810706;Tinto
2015;Total;29935627;Tinto
2016;Total;13370866;Tinto
2017;Total;32850915;Tinto
2018;Total;26868514;Tinto
2020;Total;28003505;Tinto
2021;Total;93296587;Tinto
2006;Alicante Bouschet;1078887;Tinto
2007;Alicante Bouschet;1775837;Tinto
2008;Alicante Bouschet;1588326;Tinto
2009;Alicante Bouschet;1652912;Tinto
2010;Alicante Bouschet;849263;Tinto
2011;Alicante Bouschet;2130579;Tinto
2012;Alicante Bouschet;2098824;Tinto
2013;Alicante Bouschet;1524728;Tinto
2014;Alicante Bouschet;1456305;Tinto
2015;Alicante Bouschet;1519576;Tinto
2016;Alicante Bouschet;908841;Tinto
2017;Alicante Bouschet;2040198;Tinto
2018;Alicante Bouschet;2103844;Tinto
2020;Alicante Bouschet;2272985;Tinto
2021;Alicante Bouschet;811140;Tinto
2006;Ancelota;872741;Tinto
2007;Ancelota;1532209;Tinto
2008;Ancelota;1709883;Tinto
2009;Ancelota;1370728;Tinto
2010;Ancelota;853718;Tinto
2011;Ancelota;1346552;Tinto
2012;Ancelota;1274677;Tinto
2013;Ancelota;1137943;Tinto
2014;Ancelota;937844;Tinto
2015;Ancelota;773526;Tinto
2016;Ancelota;179028;Tinto
2017;Ancelota;733907;Tinto
2018;Ancelota;492106;Tinto
2020;Ancelota;481402;Tinto
2021;Ancelota;6513974;Tinto
2006;Alfrocheiro;43396;Tinto
2007;Alfrocheiro;20509;Tinto
2008;Alfrocheiro;25310;Tinto
2009;Alfrocheiro;31168;Tinto
2011;Alfrocheiro;4320;Tinto
2006;Arinarnoa;11480;Tinto
2007;Arinarnoa;24878;Tinto
2008;Arinarnoa;12686;Tinto
2009;Arinarnoa;39607;Tinto
2010;Arinarnoa;35790;Tinto
2011;Arinarnoa;49376;Tinto
2012;Arinarnoa;81026;Tinto
2013;Arinarnoa;65001;Tinto
2014;Arinarnoa;56666;Tinto
2015;Arinarnoa;61817;Tinto
2016;Arinarnoa;17691;Tinto
2017;Arinarnoa;69757;Tinto
2018;Arinarnoa;44775;Tinto
2020;Arinarnoa;90860;Tinto
2021;Arinarnoa;2785609;Tinto
2011;Aspirant Bouschet;2258;Tinto
2012;Aspirant Bouschet;7448;Tinto
2013;Aspirant Bouschet;3650;Tinto
2014;Aspirant Bouschet;7091;Tinto
2015;Aspirant Bouschet;8859;Tinto
2016;Aspirant Bouschet;12901;Tinto
2017;Aspirant Bouschet;18086;Tinto
2018;Aspirant Bouschet;12830;Tinto
2020;Aspirant Bouschet;34513;Tinto
2021;Aspirant Bouschet;15691137;Tinto
2006;Barbera;57116;Tinto
2007;Barbera;68946;Tinto
2008;Barbera;92279;Tinto
2009;Barbera;70932;Tinto
2010;Barbera;26044;Tinto
2011;Barbera;76397;Tinto
2012;Barbera;47549;Tinto
2013;Barbera;40630;Tinto
2014;Barbera;19514;Tinto
2015;Barbera;19980;Tinto
2016;Barbera;14738;Tinto
2017;Barbera;24218;Tinto
2018;Barbera;21863;Tinto
2020;Barbera;12349;Tinto
2021;Barbera;437640;Tinto
2006;Bonarda;3843;Tinto
2007;Bonarda;6207;Tinto
2008;Bonarda;7640;Tinto
2009;Bonarda;2320;Tinto
2011;Bonarda;250;Tinto
2012;Bonarda;1114;Tinto
2021;Bonarda;3110;Tinto
2006;Cabernet Franc;3285083;Tinto
2007;Cabernet Franc;4081725;Tinto
2008;Cabernet Franc;4008067;Tinto
2009;Cabernet Franc;3365865;Tinto
2010;Cabernet Franc;2125997;Tinto
2011;Cabernet Franc;2741150;Tinto
2012;Cabernet Franc;2594675;Tinto
2013;Cabernet Franc;2452229;Tinto
2014;Cabernet Franc;1894496;Tinto
2015;Cabernet Franc;1981004;Tinto
2016;Cabernet Franc;820996;Tinto
2017;Cabernet Franc;2116893;Tinto
2018;Cabernet Franc;1524191;Tinto
2020;Cabernet Franc;1506219;Tinto
2021;Cabernet Franc;16626545;Tinto
2006;Cabernet Sauvignon;12063009;Tinto
2007;Cabernet Sauvignon;14489153;Tinto
2008;Cabernet Sauvignon;16646632;Tinto
2009;Cabernet Sauvignon;13229864;Tinto
2010;Cabernet Sauvignon;6617553;Tinto
2011;Cabernet Sauvignon;13039126;Tinto
2012;Cabernet Sauvignon;11355820;Tinto
2013;Cabernet Sauvignon;10651084;Tinto
2014;Cabernet Sauvignon;8556337;Tinto
2015;Cabernet Sauvignon;7426634;Tinto
2016;Cabernet Sauvignon;3877852;Tinto
2017;Cabernet Sauvignon;7242258;Tinto
2018;Cabernet Sauvignon;6004627;Tinto
2020;Cabernet Sauvignon;5889427;Tinto
2021;Cabernet Sauvignon;1857999;Tinto
2006;Caladoc;240;Tinto
2007;Caladoc;1100;Tinto
2013;Caladoc;2480;Tinto
2014;Caladoc;3300;Tinto
2015;Caladoc;4000;Tinto
2016;Caladoc;2180;Tinto
2017;Caladoc;8500;Tinto
2018;Caladoc;4740;Tinto
2020;Caladoc;5230;Tinto
2021;Caladoc;108600;Tinto
2006;Carmenere;234940;Tinto
2007;Carmenere;328254;Tinto
2008;Carmenere;223269;Tinto
2009;Carmenere;130269;Tinto
2010;Carmenere;85264;Tinto
2011;Carmenere;50125;Tinto
2012;Carmenere;48990;Tinto
2013;Carmenere;44414;Tinto
2014;Carmenere;66632;Tinto
2015;Carmenere;134180;Tinto
2016;Carmenere;87402;Tinto
2017;Carmenere;69275;Tinto
2018;Carmenere;241808;Tinto
2020;Carmenere;184268;Tinto
2021;Carmenere;76625;Tinto
2006;Castelão;494;Tinto
2007;Castelão;487;Tinto
2008;Castelão;23252;Tinto
2009;Castelão;16240;Tinto
2010;Castelão;16230;Tinto
2011;Castelão;26790;Tinto
2008;Corvina;710;Tinto
2009;Corvina;680;Tinto
2010;Corvina;100;Tinto
2011;Corvina;1110;Tinto
2012;Corvina;1200;Tinto
2013;Corvina;1382;Tinto
2014;Corvina;1406;Tinto
2015;Corvina;1397;Tinto
2016;Corvina;419;Tinto
2017;Corvina;1890;Tinto
2020;Corvina;2220;Tinto
2021;Corvina;69910;Tinto
2006;Croatina;3012;Tinto
2007;Croatina;4700;Tinto
2017;Cinsaut;3430;Tinto
2007;Dom Felder;17590;Tinto
2006;Egiodola;899584;Tinto
2007;Egiodola;1265676;Tinto
2008;Egiodola;1366406;Tinto
2009;Egiodola;1157679;Tinto
2010;Egiodola;845205;Tinto
2011;Egiodola;1544746;Tinto
2012;Egiodola;992241;Tinto
2013;Egiodola;1059250;Tinto
2014;Egiodola;911280;Tinto
2015;Egiodola;1053654;Tinto
2016;Egiodola;519874;Tinto
2017;Egiodola;1567341;Tinto
2018;Egiodola;1047960;Tinto
2020;Egiodola;1067591;Tinto
2021;Egiodola;6322152;Tinto
2008;Ekigaina;1720;Tinto
2011;Ekigaina;1350;Tinto
2012;Ekigaina;2630;Tinto
2013;Ekigaina;1720;Tinto
2014;Ekigaina;600;Tinto
2015;Ekigaina;1090;Tinto
2017;Ekigaina;1340;Tinto
2018;Ekigaina;2070;Tinto
2020;Ekigaina;1990;Tinto
2021;Ekigaina;2202348;Tinto
2011;Festival (Sugraone);18007;Tinto
2007;Franconia;3633;Tinto
2010;Franconia;9310;Tinto
2007;Freisa;6727;Tinto
2014;Freisa;41403;Tinto
2015;Freisa;24452;Tinto
2017;Freisa;22610;Tinto
2018;Freisa;14020;Tinto
2020;Freisa;25330;Tinto
2006;Gamay St Romain;22755;Tinto
2007;Gamay St Romain;45266;Tinto
2008;Gamay St Romain;59576;Tinto
2009;Gamay St Romain;38260;Tinto
2010;Gamay St Romain;44153;Tinto
2011;Gamay St Romain;20830;Tinto
2012;Gamay St Romain;10995;Tinto
2013;Gamay St Romain;11615;Tinto
2014;Gamay St Romain;11180;Tinto
2015;Gamay St Romain;31935;Tinto
2017;Gamay St Romain;12835;Tinto
2018;Gamay St Romain;12675;Tinto
2006;Gamay Beaujolais;249021;Tinto
2007;Gamay Beaujolais;320115;Tinto
2008;Gamay Beaujolais;316366;Tinto
2009;Gamay Beaujolais;208276;Tinto
2010;Gamay Beaujolais;84074;Tinto
2011;Gamay Beaujolais;164201;Tinto
2012;Gamay Beaujolais;163664;Tinto
2013;Gamay Beaujolais;135405;Tinto
2014;Gamay Beaujolais;113038;Tinto
2015;Gamay Beaujolais;121516;Tinto
2016;Gamay Beaujolais;45952;Tinto
2017;Gamay Beaujolais;150331;Tinto
2018;Gamay Beaujolais;152384;Tinto
2020;Gamay Beaujolais;143278;Tinto
2021;Gamay Beaujolais;5375879;Tinto
2011;Grenache;1180;Tinto
2020;Grenache;1130;Tinto
2021;Grenache;1715870;Tinto
2006;Jaen;4290;Tinto
2007;Jaen;215;Tinto
2008;Jaen;1037;Tinto
2009;Jaen;3642;Tinto
2007;Lagrein;190;Tinto
2008;Lagrein;420;Tinto
2009;Lagrein;670;Tinto
2010;Lagrein;5670;Tinto
2011;Lagrein;3288;Tinto
2012;Lagrein;800;Tinto
2013;Lagrein;15300;Tinto
2014;Lagrein;750;Tinto
2015;Lagrein;1400;Tinto
2017;Lagrein;1430;Tinto
2018;Lagrein;2700;Tinto
2020;Lagrein;3020;Tinto
2021;Lagrein;94970;Tinto
2006;Lambrusco;75631;Tinto
2007;Lambrusco;96068;Tinto
2008;Lambrusco;113388;Tinto
2009;Lambrusco;111537;Tinto
2010;Lambrusco;68480;Tinto
2011;Lambrusco;94480;Tinto
2012;Lambrusco;52740;Tinto
2013;Lambrusco;56120;Tinto
2014;Lambrusco;29890;Tinto
2015;Lambrusco;39990;Tinto
2016;Lambrusco;19784;Tinto
2017;Lambrusco;61779;Tinto
2018;Lambrusco;44511;Tinto
2020;Lambrusco;29320;Tinto
2021;Lambrusco;3221972;Tinto
2006;Malbec;148733;Tinto
2007;Malbec;399928;Tinto
2008;Malbec;414138;Tinto
2009;Malbec;393256;Tinto
2010;Malbec;318059;Tinto
2011;Malbec;636608;Tinto
2012;Malbec;629019;Tinto
2013;Malbec;590041;Tinto
2014;Malbec;616160;Tinto
2015;Malbec;624096;Tinto
2016;Malbec;267885;Tinto
2017;Malbec;740327;Tinto
2018;Malbec;628780;Tinto
2020;Malbec;493966;Tinto
2021;Malbec;8502206;Tinto
2006;Marzemina;9185;Tinto
2011;Marzemina;5460;Tinto
2014;Marzemina;4180;Tinto
2015;Marzemina;750;Tinto
2006;Merlot;8449561;Tinto
2007;Merlot;11399362;Tinto
2008;Merlot;11866618;Tinto
2009;Merlot;8876279;Tinto
2010;Merlot;6179006;Tinto
2011;Merlot;12510489;Tinto
2012;Merlot;9645204;Tinto
2013;Merlot;10179782;Tinto
2014;Merlot;7846034;Tinto
2015;Merlot;8030882;Tinto
2016;Merlot;3286035;Tinto
2017;Merlot;8309646;Tinto
2018;Merlot;6257492;Tinto
2020;Merlot;6010486;Tinto
2021;Merlot;494356;Tinto
2006;Marselan;66815;Tinto
2007;Marselan;109574;Tinto
2008;Marselan;181823;Tinto
2009;Marselan;228360;Tinto
2010;Marselan;200025;Tinto
2011;Marselan;339023;Tinto
2012;Marselan;261314;Tinto
2013;Marselan;345504;Tinto
2014;Marselan;404323;Tinto
2015;Marselan;411105;Tinto
2016;Marselan;205095;Tinto
2017;Marselan;385945;Tinto
2018;Marselan;384278;Tinto
2020;Marselan;449156;Tinto
2021;Marselan;154348;Tinto
2008;Molinera;692;Tinto
2009;Molinera;650;Tinto
2010;Molinera;100;Tinto
2011;Molinera;1080;Tinto
2012;Molinera;990;Tinto
2013;Molinera;1009;Tinto
2014;Molinera;1023;Tinto
2015;Molinera;1080;Tinto
2016;Molinera;324;Tinto
2017;Molinera;1480;Tinto
2018;Molinera;1900;Tinto
2020;Molinera;2198;Tinto
2021;Molinera;569;Tinto
2006;Montepulciano;24390;Tinto
2007;Montepulciano;30820;Tinto
2008;Montepulciano;34060;Tinto
2009;Montepulciano;21190;Tinto
2010;Montepulciano;17959;Tinto
2011;Montepulciano;21115;Tinto
2012;Montepulciano;27678;Tinto
2013;Montepulciano;41888;Tinto
2014;Montepulciano;26280;Tinto
2015;Montepulciano;25640;Tinto
2016;Montepulciano;13330;Tinto
2017;Montepulciano;28008;Tinto
2018;Montepulciano;23306;Tinto
2020;Montepulciano;22968;Tinto
2021;Montepulciano;28485;Tinto
2018;Moscato Bailey;152136;Tinto
2020;Moscato Bailey;206348;Tinto
2021;Moscato Bailey;3541181;Tinto
2006;Napa Gamay;114690;Tinto
2007;Napa Gamay;175040;Tinto
2008;Napa Gamay;179050;Tinto
2009;Napa Gamay;74640;Tinto
2011;Napa Gamay;31410;Tinto
2012;Napa Gamay;86650;Tinto
2013;Napa Gamay;55550;Tinto
2014;Napa Gamay;16380;Tinto
2015;Napa Gamay;8970;Tinto
2006;Nebbiolo;11082;Tinto
2007;Nebbiolo;13971;Tinto
2008;Nebbiolo;10019;Tinto
2009;Nebbiolo;14148;Tinto
2010;Nebbiolo;11986;Tinto
2011;Nebbiolo;21342;Tinto
2012;Nebbiolo;37530;Tinto
2013;Nebbiolo;9327;Tinto
2014;Nebbiolo;7223;Tinto
2015;Nebbiolo;12754;Tinto
2016;Nebbiolo;3117;Tinto
2017;Nebbiolo;5494;Tinto
2018;Nebbiolo;9236;Tinto
2020;Nebbiolo;8642;Tinto
2021;Nebbiolo;254738;Tinto
2006;Petit Verdot;45425;Tinto
2007;Petit Verdot;57029;Tinto
2008;Petit Verdot;50933;Tinto
2009;Petit Verdot;56031;Tinto
2010;Petit Verdot;109942;Tinto
2011;Petit Verdot;127549;Tinto
2012;Petit Verdot;102402;Tinto
2013;Petit Verdot;167522;Tinto
2014;Petit Verdot;75010;Tinto
2015;Petit Verdot;135770;Tinto
2016;Petit Verdot;116266;Tinto
2017;Petit Verdot;230640;Tinto
2018;Petit Verdot;83552;Tinto
2020;Petit Verdot;228503;Tinto
2021;Petit Verdot;277189;Tinto
2006;Petite Sirah;87550;Tinto
2007;Petite Sirah;99577;Tinto
2008;Petite Sirah;77759;Tinto
2009;Petite Sirah;121525;Tinto
2010;Petite Sirah;29457;Tinto
2011;Petite Sirah;98861;Tinto
2012;Petite Sirah;149196;Tinto
2013;Petite Sirah;105934;Tinto
2014;Petite Sirah;47834;Tinto
2015;Petite Sirah;48483;Tinto
2016;Petite Sirah;24564;Tinto
2017;Petite Sirah;92818;Tinto
2018;Petite Sirah;110361;Tinto
2020;Petite Sirah;174949;Tinto
2021;Petite Sirah;198152;Tinto
2006;Pinotage;996781;Tinto
2007;Pinotage;1113861;Tinto
2008;Pinotage;1578657;Tinto
2009;Pinotage;978575;Tinto
2010;Pinotage;644072;Tinto
2011;Pinotage;1075863;Tinto
2012;Pinotage;863296;Tinto
2013;Pinotage;816883;Tinto
2014;Pinotage;479202;Tinto
2015;Pinotage;560195;Tinto
2016;Pinotage;119773;Tinto
2017;Pinotage;474105;Tinto
2018;Pinotage;398794;Tinto
2020;Pinotage;302532;Tinto
2021;Pinotage;1281674;Tinto
2006;Pinot Noir;1161465;Tinto
2007;Pinot Noir;1270351;Tinto
2008;Pinot Noir;1930823;Tinto
2009;Pinot Noir;1387200;Tinto
2010;Pinot Noir;1309849;Tinto
2011;Pinot Noir;2513274;Tinto
2012;Pinot Noir;2799071;Tinto
2013;Pinot Noir;2392357;Tinto
2014;Pinot Noir;2592701;Tinto
2015;Pinot Noir;3125882;Tinto
2016;Pinot Noir;1279105;Tinto
2017;Pinot Noir;3676000;Tinto
2018;Pinot Noir;3240209;Tinto
2020;Pinot Noir;3588106;Tinto
2021;Pinot Noir;6184345;Tinto
2006;Pinot Saint George;48830;Tinto
2007;Pinot Saint George;72560;Tinto
2008;Pinot Saint George;28170;Tinto
2009;Pinot Saint George;29180;Tinto
2011;Pinot Saint George;7600;Tinto
2012;Pinot Saint George;20920;Tinto
2013;Pinot Saint George;14120;Tinto
2014;Pinot Saint George;2480;Tinto
2006;Piriquita;12845;Tinto
2006;Rebo;550;Tinto
2007;Rebo;3000;Tinto
2008;Rebo;7610;Tinto
2009;Rebo;4240;Tinto
2010;Rebo;1650;Tinto
2011;Rebo;27620;Tinto
2012;Rebo;16440;Tinto
2013;Rebo;19780;Tinto
2014;Rebo;13420;Tinto
2015;Rebo;22290;Tinto
2016;Rebo;12470;Tinto
2017;Rebo;44440;Tinto
2018;Rebo;94480;Tinto
2020;Rebo;177172;Tinto
2021;Rebo;15912;Tinto
2006;Refosco;26537;Tinto
2007;Refosco;17415;Tinto
2008;Refosco;59340;Tinto
2009;Refosco;10430;Tinto
2010;Refosco;9466;Tinto
2011;Refosco;18705;Tinto
2012;Refosco;12120;Tinto
2013;Refosco;12080;Tinto
2014;Refosco;13240;Tinto
2015;Refosco;9310;Tinto
2016;Refosco;3260;Tinto
2017;Refosco;5240;Tinto
2018;Refosco;7320;Tinto
2021;Refosco;380;Tinto
2008;Rondinella;668;Tinto
2009;Rondinella;648;Tinto
2010;Rondinella;100;Tinto
2011;Rondinella;1150;Tinto
2012;Rondinella;1020;Tinto
2013;Rondinella;1089;Tinto
2014;Rondinella;1053;Tinto
2015;Rondinella;1110;Tinto
2016;Rondinella;333;Tinto
2017;Rondinella;1899;Tinto
2018;Rondinella;1990;Tinto
2020;Rondinella;2340;Tinto
2021;Rondinella;684860;Tinto
2006;Ruby Cabernet;654931;Tinto
2007;Ruby Cabernet;782800;Tinto
2008;Ruby Cabernet;679484;Tinto
2009;Ruby Cabernet;532095;Tinto
2010;Ruby Cabernet;379720;Tinto
2011;Ruby Cabernet;582497;Tinto
2012;Ruby Cabernet;470683;Tinto
2013;Ruby Cabernet;526124;Tinto
2014;Ruby Cabernet;486527;Tinto
2015;Ruby Cabernet;388019;Tinto
2016;Ruby Cabernet;220231;Tinto
2017;Ruby Cabernet;382994;Tinto
2018;Ruby Cabernet;248992;Tinto
2020;Ruby Cabernet;218783;Tinto
2021;Ruby Cabernet;78412;Tinto
2006;Sangiovese;133402;Tinto
2007;Sangiovese;115475;Tinto
2008;Sangiovese;405224;Tinto
2009;Sangiovese;303438;Tinto
2010;Sangiovese;258484;Tinto
2011;Sangiovese;359833;Tinto
2012;Sangiovese;280756;Tinto
2013;Sangiovese;277679;Tinto
2014;Sangiovese;122632;Tinto
2015;Sangiovese;135962;Tinto
2016;Sangiovese;26601;Tinto
2017;Sangiovese;89404;Tinto
2018;Sangiovese;63832;Tinto
2020;Sangiovese;85292;Tinto
2021;Sangiovese;3324793;Tinto
2008;Sira (falsa);14145;Tinto
2006;Tannat;3055931;Tinto
2007;Tannat;3514880;Tinto
2008;Tannat;4711255;Tinto
2009;Tannat;4199190;Tinto
2010;Tannat;2266985;Tinto
2011;Tannat;4152135;Tinto
2012;Tannat;4585214;Tinto
2013;Tannat;3612439;Tinto
2014;Tannat;2644014;Tinto
2015;Tannat;2761604;Tinto
2016;Tannat;985207;Tinto
2017;Tannat;3668851;Tinto
2018;Tannat;2940306;Tinto
2020;Tannat;3571972;Tinto
2021;Tannat;2634802;Tinto
2006;Tempranillo;111158;Tinto
2007;Tempranillo;192063;Tinto
2008;Tempranillo;241017;Tinto
2009;Tempranillo;242484;Tinto
2010;Tempranillo;63526;Tinto
2011;Tempranillo;256836;Tinto
2012;Tempranillo;283929;Tinto
2013;Tempranillo;219163;Tinto
2014;Tempranillo;119398;Tinto
2015;Tempranillo;182579;Tinto
2016;Tempranillo;210551;Tinto
2017;Tempranillo;357637;Tinto
2018;Tempranillo;278456;Tinto
2020;Tempranillo;442330;Tinto
2021;Tempranillo;968038;Tinto
2006;Teroldego;51645;Tinto
2007;Teroldego;61659;Tinto
2008;Teroldego;69876;Tinto
2009;Teroldego;105372;Tinto
2010;Teroldego;68593;Tinto
2011;Teroldego;179095;Tinto
2012;Teroldego;157368;Tinto
2013;Teroldego;124542;Tinto
2014;Teroldego;87820;Tinto
2015;Teroldego;97455;Tinto
2016;Teroldego;34019;Tinto
2017;Teroldego;87034;Tinto
2018;Teroldego;77625;Tinto
2020;Teroldego;106764;Tinto
2021;Teroldego;717757;Tinto
2012;Torrontes;4300;Tinto
2013;Torrontes;3090;Tinto
2014;Torrontes;9580;Tinto
2015;Torrontes;10070;Tinto
2016;Torrontes;1490;Tinto
2017;Torrontes;14630;Tinto
2018;Torrontes;16350;Tinto
2020;Torrontes;9700;Tinto
2007;Tinta Barroca;6520;Tinto
2008;Tinta Barroca;12870;Tinto
2009;Tinta Barroca;6710;Tinto
2006;Touriga Nacional;42376;Tinto
2007;Touriga Nacional;127462;Tinto
2008;Touriga Nacional;101376;Tinto
2009;Touriga Nacional;131833;Tinto
2010;Touriga Nacional;97629;Tinto
2011;Touriga Nacional;189928;Tinto
2012;Touriga Nacional;133820;Tinto
2013;Touriga Nacional;136565;Tinto
2014;Touriga Nacional;86460;Tinto
2015;Touriga Nacional;136611;Tinto
2016;Touriga Nacional;53552;Tinto
2017;Touriga Nacional;108245;Tinto
2018;Touriga Nacional;122015;Tinto
2020;Touriga Nacional;150166;Tinto
2021;Touriga Nacional;38910;Tinto
2006;Trincdeira;3591;Tinto
2007;Trincdeira;255;Tinto
2010;Zinfandel;372;Tinto
